,state,x,y
0,Tamil Nadu,-61.0,-188.0
1,Kerala,-91.0,-199.0
2,Karnataka,-109.0,-129.0
3,Andhra Pradesh,-60.0,-107.0
4,Telangana,-48.0,-57.0
5,Chattisgarh,-3.0,-10.0
6,Orissa,39.0,-10.0
7,Jharkhand,67.0,45.0
8,West Bengal,111.0,47.0
9,Bihar,75.0,92.0
10,Madhya Pradesh,-36.0,37.0
11,Maharashtra,-106.0,-20.0
12,Gujarat,-171.0,42.0
13,Rajasthan,-144.0,110.0
14,Haryana,-88.0,152.0
15,Punjab,-102.0,178.0
16,Kashmir,-111.0,238.0
17,Ladakh,-82.0,261.0
18,Himachal Pradesh,-68.0,207.0
19,Uttarakhand,-42.0,178.0
20,Delhi,-73.0,145.0
21,Uttar Pradesh,-31.0,121.0
22,Sikkim,120.0,127.0
23,Assam,176.0,113.0
24,Arunachal Pradesh,216.0,146.0
25,Nagaland,228.0,110.0
26,Manipur,218.0,83.0
27,Mizoram,202.0,54.0
28,Tripura,179.0,61.0
29,Meghalaya,165.0,93.0
30,Andaman And Nicobar,221.0,-165.0
31,Pondicherry,-29.0,-178.0
32,Lakshadweep,-175.0,-197.0
33,Goa,-136.0,-100.0
